Description,Gene,LB_copies_per_cell,LB_coef_of_var
Sulfate/thiosulfate import ATP-binding protein CysA OS=Escherichia coli (strain K12) GN=cysA PE=3 SV=2,cysA,203,5.17
Sulfate adenylyltransferase subunit 2 OS=Escherichia coli (strain K12) GN=cysD PE=1 SV=3,cysD,362,4.49
Glycerophosphoryl diester phosphodiesterase OS=Escherichia coli (strain K12) GN=glpQ PE=1 SV=2,glpQ,1298,7.74
Amino-acid acetyltransferase OS=Escherichia coli (strain K12) GN=argA PE=1 SV=1,argA,222,1.46
Ribosomal RNA large subunit methyltransferase N OS=Escherichia coli (strain K12) GN=rlmN PE=1 SV=1,rlmN,755,9.70
Valine--pyruvate aminotransferase OS=Escherichia coli (strain K12) GN=avtA PE=3 SV=3,avtA,383,6.14
Selenocysteine-specific elongation factor OS=Escherichia coli (strain K12) GN=selB PE=1 SV=3,selB,58,14.81
Thiol peroxidase OS=Escherichia coli (strain K12) GN=tpx PE=1 SV=2,tpx,28899,3.99
DNA-binding protein H-NS OS=Escherichia coli (strain K12) GN=hns PE=1 SV=2,hns,47133,5.59
Molybdenum cofactor biosynthesis protein B OS=Escherichia coli (strain K12) GN=moaB PE=1 SV=2,moaB,2778,3.61
Aerobic respiration control protein ArcA OS=Escherichia coli (strain K12) GN=arcA PE=1 SV=1,arcA,5464,2.74
50S ribosomal protein L25 OS=Escherichia coli (strain K12) GN=rplY PE=1 SV=1,rplY,45584,4.33
DnaK suppressor protein OS=Escherichia coli (strain K12) GN=dksA PE=1 SV=1,dksA,19594,6.70
Glutaredoxin-2 OS=Escherichia coli (strain K12) GN=grxB PE=1 SV=1,grxB,1445,6.17
Long-chain fatty acid transport protein OS=Escherichia coli (strain K12) GN=fadL PE=1 SV=5,fadL,3157,5.18
ATP synthase subunit b OS=Escherichia coli (strain K12) GN=atpF PE=1 SV=1,atpF,13934,1.51
Leucine-responsive regulatory protein OS=Escherichia coli (strain K12) GN=lrp PE=1 SV=2,lrp,3555,3.33
Integration host factor subunit alpha OS=Escherichia coli (strain K12) GN=ihfA PE=1 SV=1,ihfA,4810,4.84
Universal stress protein F OS=Escherichia coli (strain K12) GN=uspF PE=1 SV=2,uspF,3013,11.96
50S ribosomal protein L11 OS=Escherichia coli (strain K12) GN=rplK PE=1 SV=2,rplK,27559,5.77
Universal stress protein G OS=Escherichia coli (strain K12) GN=uspG PE=1 SV=2,uspG,3224,10.18
30S ribosomal protein S9 OS=Escherichia coli (strain K12) GN=rpsI PE=1 SV=2,rpsI,20837,3.89
Quinone oxidoreductase 1 OS=Escherichia coli (strain K12) GN=qorA PE=1 SV=1,qorA,678,2.78
Dihydrodipicolinate synthase OS=Escherichia coli (strain K12) GN=dapA PE=1 SV=1,dapA,3962,7.24
"3'(2'),5'-bisphosphate nucleotidase CysQ OS=Escherichia coli (strain K12) GN=cysQ PE=1 SV=2",cysQ,978,3.73
DNA-binding protein stpA OS=Escherichia coli (strain K12) GN=stpA PE=3 SV=1,stpA,5241,1.91
UPF0438 protein yifE OS=Escherichia coli (strain K12) GN=yifE PE=1 SV=2,yifE,7327,2.57
ABC transporter periplasmic-binding protein ytfQ OS=Escherichia coli (strain K12) GN=ytfQ PE=1 SV=1,ytfQ,380,22.53
Putative cytochrome d ubiquinol oxidase subunit 3 OS=Escherichia coli (strain K12) GN=yhcB PE=1 SV=2,yhcB,6150,1.82
Formyltetrahydrofolate deformylase OS=Escherichia coli (strain K12) GN=purU PE=1 SV=1,purU,1294,4.39
NADP-dependent 3-hydroxy acid dehydrogenase YdfG OS=Escherichia coli (strain K12) GN=ydfG PE=1 SV=2,ydfG,2097,7.35
Phosphatidylserine decarboxylase proenzyme OS=Escherichia coli (strain K12) GN=psd PE=1 SV=1,psd,1882,12.81
Putative oxidoreductase YdbC OS=Escherichia coli (strain K12) GN=ydbC PE=1 SV=1,ydbC,345,8.27
Putative NADP-dependent oxidoreductase yncB OS=Escherichia coli (strain K12) GN=yncB PE=3 SV=3,curA,380,6.07
Uncharacterized protein ybiB OS=Escherichia coli (strain K12) GN=ybiB PE=3 SV=1,ybiB,859,2.94
Lipoprotein yfgL OS=Escherichia coli (strain K12) GN=yfgL PE=1 SV=1,bamB,1670,12.13
Uncharacterized GST-like protein yghU OS=Escherichia coli (strain K12) GN=yghU PE=1 SV=2,yghU,488,1.43
Glucosamine-6-phosphate deaminase OS=Escherichia coli (strain K12) GN=nagB PE=1 SV=1,nagB,1141,6.22
Cysteine desulfurase OS=Escherichia coli (strain K12) GN=sufS PE=1 SV=1,sufS,177,7.15
Cysteine synthase B OS=Escherichia coli (strain K12) GN=cysM PE=1 SV=1,cysM,612,6.36
Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta OS=Escherichia coli (strain K12) GN=accD PE=1 SV=1,accD,3440,4.74
Peptidyl-prolyl cis-trans isomerase A OS=Escherichia coli (strain K12) GN=ppiA PE=1 SV=1,ppiA,2280,14.60
Uncharacterized oxidoreductase ybiC OS=Escherichia coli (strain K12) GN=ybiC PE=1 SV=2,ybiC,621,2.56
Long-chain-fatty-acid--CoA ligase OS=Escherichia coli (strain K12) GN=fadD PE=1 SV=1,fadD,539,10.35
ProP effector OS=Escherichia coli (strain K12) GN=proQ PE=1 SV=2,proQ,4624,2.07
UPF0169 lipoprotein yfiO OS=Escherichia coli (strain K12) GN=yfiO PE=1 SV=1,bamD,2107,3.94
Uncharacterized oxidoreductase yghA OS=Escherichia coli (strain K12) GN=yghA PE=1 SV=1,yghA,78,10.64
Probable protease sohB OS=Escherichia coli (strain K12) GN=sohB PE=1 SV=1,sohB,426,1.04
Tryptophan biosynthesis protein trpCF OS=Escherichia coli (strain K12) GN=trpC PE=1 SV=3,trpC,95,7.07
N-acetyl-gamma-glutamyl-phosphate reductase OS=Escherichia coli (strain K12) GN=argC PE=3 SV=1,argC,231,3.74
Peptidase T OS=Escherichia coli (strain K12) GN=pepT PE=1 SV=2,pepT,204,0.68
Recombination-associated protein rdgC OS=Escherichia coli (strain K12) GN=rdgC PE=1 SV=1,rdgC,739,11.61
Bifunctional glutathionylspermidine synthetase/amidase OS=Escherichia coli (strain K12) GN=gsp PE=1 SV=1,gss,102,3.82
Uronate isomerase OS=Escherichia coli (strain K12) GN=uxaC PE=3 SV=1,uxaC,355,7.26
3-octaprenyl-4-hydroxybenzoate carboxy-lyase OS=Escherichia coli (strain K12) GN=ubiD PE=1 SV=1,ubiD,712,12.40
Mannose permease IID component OS=Escherichia coli (strain K12) GN=manZ PE=1 SV=1,manZ,475,2.55
Transcriptional regulator kdgR OS=Escherichia coli (strain K12) GN=kdgR PE=1 SV=1,kdgR,866,7.07
"PTS-dependent dihydroxyacetone kinase, phosphotransferase subunit dhaM OS=Escherichia coli (strain K12) GN=dhaM PE=1 SV=3",dhaM,354,4.94
Dipeptide transport ATP-binding protein DppD OS=Escherichia coli (strain K12) GN=dppD PE=3 SV=1,dppD,434,2.26
Putative ribosome biogenesis GTPase RsgA OS=Escherichia coli (strain K12) GN=rsgA PE=1 SV=2,rsgA,392,3.82
"2',3'-cyclic-nucleotide 2'-phosphodiesterase/3'-nucleotidase OS=Escherichia coli (strain K12) GN=cpdB PE=1 SV=2",cpdB,536,3.52
L-seryl-tRNA(Sec) selenium transferase OS=Escherichia coli (strain K12) GN=selA PE=1 SV=1,selA,140,6.80
[Protein-PII] uridylyltransferase OS=Escherichia coli (strain K12) GN=glnD PE=3 SV=2,glnD,280,0.88
D-alanine--D-alanine ligase A OS=Escherichia coli (strain K12) GN=ddlA PE=3 SV=1,ddlA,897,8.19
GTP-binding protein hflX OS=Escherichia coli (strain K12) GN=hflX PE=1 SV=3,hflX,437,4.17
HTH-type transcriptional regulator CysB OS=Escherichia coli (strain K12) GN=cysB PE=3 SV=1,cysB,620,11.76
Phosphate transport system protein phoU OS=Escherichia coli (strain K12) GN=phoU PE=1 SV=1,phoU,587,4.31
Uncharacterized protein yfeX OS=Escherichia coli (strain K12) GN=yfeX PE=3 SV=2,yfeX,1098,4.65
NADH-quinone oxidoreductase subunit E OS=Escherichia coli (strain K12) GN=nuoE PE=1 SV=1,nuoE,5284,0.75
Multidrug resistance protein mdtE OS=Escherichia coli (strain K12) GN=mdtE PE=1 SV=1,mdtE,24,12.04
Flavohemoprotein OS=Escherichia coli (strain K12) GN=hmp PE=1 SV=1,hmp,349,10.08
Phosphatase YniC OS=Escherichia coli (strain K12) GN=yniC PE=1 SV=1,yniC,885,2.90
GTP pyrophosphokinase OS=Escherichia coli (strain K12) GN=relA PE=1 SV=1,relA,98,6.97
Dipeptide transport ATP-binding protein DppF OS=Escherichia coli (strain K12) GN=dppF PE=3 SV=1,dppF,235,24.52
Protein FdhE OS=Escherichia coli (strain K12) GN=fdhE PE=3 SV=2,fdhE,1583,19.31
Major outer membrane lipoprotein Lpp OS=Escherichia coli (strain K12) GN=lpp PE=1 SV=1,lpp,65769,2.60
Universal stress protein A OS=Escherichia coli (strain K12) GN=uspA PE=1 SV=2,uspA,30073,4.31
Peptidoglycan-associated lipoprotein OS=Escherichia coli (strain K12) GN=pal PE=1 SV=1,pal,21384,2.42
30S ribosomal protein S10 OS=Escherichia coli (strain K12) GN=rpsJ PE=1 SV=1,rpsJ,103703,2.31
50S ribosomal protein L24 OS=Escherichia coli (strain K12) GN=rplX PE=1 SV=2,rplX,124761,3.38
50S ribosomal protein L4 OS=Escherichia coli (strain K12) GN=rplD PE=1 SV=1,rplD,49874,4.65
UPF0234 protein yajQ OS=Escherichia coli (strain K12) GN=yajQ PE=1 SV=2,yajQ,10699,3.08
50S ribosomal protein L17 OS=Escherichia coli (strain K12) GN=rplQ PE=1 SV=1,rplQ,46700,5.31
Inorganic pyrophosphatase OS=Escherichia coli (strain K12) GN=ppa PE=1 SV=2,ppa,14365,2.71
30S ribosomal protein S13 OS=Escherichia coli (strain K12) GN=rpsM PE=1 SV=2,rpsM,72767,1.49
Uncharacterized protein ycaC OS=Escherichia coli (strain K12) GN=ycaC PE=1 SV=1,ycaC,998,7.03
Putrescine-binding periplasmic protein OS=Escherichia coli (strain K12) GN=potF PE=1 SV=3,potF,1192,0.62
50S ribosomal protein L14 OS=Escherichia coli (strain K12) GN=rplN PE=1 SV=1,rplN,24357,2.85
ABC transporter arginine-binding protein 1 OS=Escherichia coli (strain K12) GN=artJ PE=1 SV=2,artJ,1294,6.68
Chaperone protein hchA OS=Escherichia coli (strain K12) GN=hchA PE=1 SV=3,hchA,848,10.61
Thiol:disulfide interchange protein DsbA OS=Escherichia coli (strain K12) GN=dsbA PE=1 SV=1,dsbA,4121,0.74
Ubiquinol oxidase subunit 1 OS=Escherichia coli (strain K12) GN=cyoB PE=1 SV=1,cyoB,2424,0.84
Bifunctional protein FolD OS=Escherichia coli (strain K12) GN=folD PE=1 SV=4,folD,1452,3.77
Ribose-5-phosphate isomerase A OS=Escherichia coli (strain K12) GN=rpiA PE=1 SV=1,rpiA,4467,10.05
UPF0133 protein ybaB OS=Escherichia coli (strain K12) GN=ybaB PE=1 SV=1,ybaB,11963,2.84
Phosphoribosylformylglycinamidine cyclo-ligase OS=Escherichia coli (strain K12) GN=purM PE=1 SV=3,purM,564,4.16
Putative acyl-CoA thioester hydrolase ybhC OS=Escherichia coli (strain K12) GN=ybhC PE=1 SV=2,ybhC,1546,7.43
3-mercaptopyruvate sulfurtransferase OS=Escherichia coli (strain K12) GN=sseA PE=1 SV=3,sseA,2205,4.78
Inner membrane protein oxaA OS=Escherichia coli (strain K12) GN=oxaA PE=1 SV=2,yidC,2030,4.70
Probable ATP-dependent transporter SufC OS=Escherichia coli (strain K12) GN=sufC PE=1 SV=1,sufC,298,4.94
Orotidine 5'-phosphate decarboxylase OS=Escherichia coli (strain K12) GN=pyrF PE=1 SV=1,pyrF,1017,0.94
Probable Fe(2+)-trafficking protein OS=Escherichia coli (strain K12) GN=yggX PE=1 SV=2,yggX,4247,6.47
Cytochrome d ubiquinol oxidase subunit 1 OS=Escherichia coli (strain K12) GN=cydA PE=1 SV=1,cydA,1399,4.18
FeS cluster assembly protein sufB OS=Escherichia coli (strain K12) GN=sufB PE=1 SV=2,sufB,224,13.10
Uncharacterized protein ybeL OS=Escherichia coli (strain K12) GN=ybeL PE=4 SV=1,ybeL,658,8.37
Methionyl-tRNA formyltransferase OS=Escherichia coli (strain K12) GN=fmt PE=1 SV=4,fmt,1587,6.42
Lipoprotein 28 OS=Escherichia coli (strain K12) GN=nlpA PE=1 SV=1,nlpA,358,1.95
Lipopolysaccharide export system ATP-binding protein LptB OS=Escherichia coli (strain K12) GN=lptB PE=1 SV=2,lptB,2132,5.32
UDP-N-acetylmuramate--L-alanine ligase OS=Escherichia coli (strain K12) GN=murC PE=1 SV=2,murC,671,3.42
Chorismate synthase OS=Escherichia coli (strain K12) GN=aroC PE=1 SV=4,aroC,469,7.81
Nitrate/nitrite response regulator protein narL OS=Escherichia coli (strain K12) GN=narL PE=1 SV=1,narL,1765,7.54
Vitamin B12 transport periplasmic protein BtuE OS=Escherichia coli (strain K12) GN=btuE PE=3 SV=1,btuE,890,5.90
Inositol-1-monophosphatase OS=Escherichia coli (strain K12) GN=suhB PE=1 SV=1,suhB,3468,1.69
Nucleoid-associated protein YejK OS=Escherichia coli (strain K12) GN=yejK PE=1 SV=3,yejK,1147,6.92
Phage shock protein A OS=Escherichia coli (strain K12) GN=pspA PE=1 SV=2,pspA,747,13.22
Glyoxylate/hydroxypyruvate reductase A OS=Escherichia coli (strain K12) GN=ghrA PE=1 SV=2,ghrA,1383,10.64
Glutathione S-transferase OS=Escherichia coli (strain K12) GN=gst PE=1 SV=1,gstA,412,3.30
Uncharacterized aldolase lsrF OS=Escherichia coli (strain K12) GN=lsrF PE=1 SV=1,lsrF,117,16.16
Homoserine kinase OS=Escherichia coli (strain K12) GN=thrB PE=1 SV=2,thrB,442,1.18
UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase OS=Escherichia coli (strain K12) GN=murF PE=1 SV=2,murF,850,3.31
Uncharacterized oxidoreductase yhhX OS=Escherichia coli (strain K12) GN=yhhX PE=1 SV=1,yhhX,792,10.84
LOG family protein ygdH OS=Escherichia coli (strain K12) GN=ygdH PE=1 SV=1,ygdH,597,7.74
Exodeoxyribonuclease III OS=Escherichia coli (strain K12) GN=xthA PE=1 SV=4,xthA,834,8.78
3-ketoacyl-CoA thiolase OS=Escherichia coli (strain K12) GN=fadA PE=1 SV=3,fadA,526,8.49
Phosphate-binding protein pstS OS=Escherichia coli (strain K12) GN=pstS PE=1 SV=1,pstS,301,3.25
Thiol:disulfide interchange protein DsbC OS=Escherichia coli (strain K12) GN=dsbC PE=1 SV=1,dsbC,1356,9.38
Ribosomal RNA small subunit methyltransferase H OS=Escherichia coli (strain K12) GN=rsmH PE=1 SV=1,rsmH,498,6.01
7-alpha-hydroxysteroid dehydrogenase OS=Escherichia coli (strain K12) GN=hdhA PE=1 SV=1,hdhA,200,11.06
Shikimate kinase 1 OS=Escherichia coli (strain K12) GN=aroK PE=1 SV=2,aroK,3205,4.67
Uncharacterized GST-like protein yliJ OS=Escherichia coli (strain K12) GN=yliJ PE=1 SV=1,gstB,364,7.92
N-acetylglucosamine repressor OS=Escherichia coli (strain K12) GN=nagC PE=2 SV=1,nagC,234,9.06
Low specificity L-threonine aldolase OS=Escherichia coli (strain K12) GN=ltaE PE=1 SV=1,ltaE,411,2.50
Porphobilinogen deaminase OS=Escherichia coli (strain K12) GN=hemC PE=1 SV=2,hemC,732,6.14
Ribosomal RNA small subunit methyltransferase I OS=Escherichia coli (strain K12) GN=rsmI PE=1 SV=1,rsmI,513,3.27
Protein hemY OS=Escherichia coli (strain K12) GN=hemY PE=1 SV=1,hemY,323,3.88
Penicillin-binding protein 1B OS=Escherichia coli (strain K12) GN=mrcB PE=1 SV=2,mrcB,104,10.44
D-amino acid dehydrogenase small subunit OS=Escherichia coli (strain K12) GN=dadA PE=2 SV=1,dadA,1095,11.92
LexA repressor OS=Escherichia coli (strain K12) GN=lexA PE=1 SV=1,lexA,1027,7.30
3-demethylubiquinone-9 3-methyltransferase OS=Escherichia coli (strain K12) GN=ubiG PE=1 SV=1,ubiG,1404,3.44
Acetolactate synthase isozyme 1 small subunit OS=Escherichia coli (strain K12) GN=ilvN PE=1 SV=1,ilvN,2811,14.58
Replicative DNA helicase OS=Escherichia coli (strain K12) GN=dnaB PE=1 SV=1,dnaB,320,9.84
Fatty acid oxidation complex subunit alpha OS=Escherichia coli (strain K12) GN=fadJ PE=1 SV=1,fadJ,87,14.29
Phosphoglycerol transferase I OS=Escherichia coli (strain K12) GN=mdoB PE=3 SV=2,mdoB,171,6.14
UPF0042 nucleotide-binding protein yhbJ OS=Escherichia coli (strain K12) GN=yhbJ PE=1 SV=1,yhbJ,225,1.85
3-isopropylmalate dehydratase small subunit OS=Escherichia coli (strain K12) GN=leuD PE=1 SV=3,leuD,461,6.02
ABC transporter ATP-binding protein uup OS=Escherichia coli (strain K12) GN=uup PE=1 SV=2,uup,420,7.50
Uncharacterized protein ydcJ OS=Escherichia coli (strain K12) GN=ydcJ PE=4 SV=1,ydcJ,61,13.87
"2,4-dienoyl-CoA reductase [NADPH] OS=Escherichia coli (strain K12) GN=fadH PE=1 SV=3",fadH,134,8.56
UPF0246 protein yaaA OS=Escherichia coli (strain K12) GN=yaaA PE=1 SV=1,yaaA,1105,1.62
ATP-dependent RNA helicase hrpA OS=Escherichia coli (strain K12) GN=hrpA PE=3 SV=3,hrpA,60,5.59
Oligopeptide transport ATP-binding protein OppD OS=Escherichia coli (strain K12) GN=oppD PE=3 SV=2,oppD,736,7.68
3-ketoacyl-CoA thiolase OS=Escherichia coli (strain K12) GN=fadI PE=1 SV=1,fadI,92,35.84
Isochorismate synthase entC OS=Escherichia coli (strain K12) GN=entC PE=1 SV=1,entC,57,14.60
Malate:quinone oxidoreductase OS=Escherichia coli (strain K12) GN=mqo PE=1 SV=2,mqo,255,8.02
D-serine dehydratase OS=Escherichia coli (strain K12) GN=dsdA PE=1 SV=3,dsdA,1431,27.46
Ribosomal protein S12 methylthiotransferase RimO OS=Escherichia coli (strain K12) GN=rimO PE=1 SV=1,rimO,809,7.01
Protein CsiD OS=Escherichia coli (strain K12) GN=csiD PE=1 SV=2,csiD,636,14.53
Uncharacterized sulfatase ydeN OS=Escherichia coli (strain K12) GN=ydeN PE=3 SV=2,ydeN,147,29.44
Quinolinate synthase A OS=Escherichia coli (strain K12) GN=nadA PE=1 SV=3,nadA,65,4.83
Flagellin OS=Escherichia coli (strain K12) GN=fliC PE=1 SV=2,fliC,5,53.90
Osmotically-inducible protein Y OS=Escherichia coli (strain K12) GN=osmY PE=1 SV=1,osmY,5064,6.91
Outer membrane protein X OS=Escherichia coli (strain K12) GN=ompX PE=1 SV=1,ompX,25278,3.30
50S ribosomal protein L10 OS=Escherichia coli (strain K12) GN=rplJ PE=1 SV=2,rplJ,87283,3.01
50S ribosomal protein L13 OS=Escherichia coli (strain K12) GN=rplM PE=1 SV=1,rplM,74846,4.32
Outer membrane lipoprotein slyB OS=Escherichia coli (strain K12) GN=slyB PE=2 SV=1,slyB,17259,1.63
Aspartate carbamoyltransferase regulatory chain OS=Escherichia coli (strain K12) GN=pyrI PE=1 SV=2,pyrI,3040,1.56
Osmotically-inducible lipoprotein E OS=Escherichia coli (strain K12) GN=osmE PE=2 SV=1,osmE,3304,10.03
ATP synthase epsilon chain OS=Escherichia coli (strain K12) GN=atpC PE=1 SV=2,atpC,15370,5.67
Ferric uptake regulation protein OS=Escherichia coli (strain K12) GN=fur PE=1 SV=1,fur,10748,1.38
Carbonic anhydrase 2 OS=Escherichia coli (strain K12) GN=can PE=1 SV=1,can,2319,4.01
Small-conductance mechanosensitive channel OS=Escherichia coli (strain K12) GN=mscS PE=1 SV=1,mscS,3440,6.33
Uncharacterized protein yccU OS=Escherichia coli (strain K12) GN=yccU PE=1 SV=2,yccU,1578,4.41
Uncharacterized protein yieF OS=Escherichia coli (strain K12) GN=yieF PE=3 SV=1,yieF,2331,4.28
"Probable L,D-transpeptidase YbiS OS=Escherichia coli (strain K12) GN=ybiS PE=1 SV=1",ybiS,3224,8.37
50S ribosomal protein L19 OS=Escherichia coli (strain K12) GN=rplS PE=1 SV=2,rplS,16521,1.82
UPF0325 protein yaeH OS=Escherichia coli (strain K12) GN=yaeH PE=3 SV=1,yaeH,1478,4.93
Putative glucose-6-phosphate 1-epimerase OS=Escherichia coli (strain K12) GN=yeaD PE=1 SV=2,yeaD,2422,5.19
Cytidine deaminase OS=Escherichia coli (strain K12) GN=cdd PE=1 SV=1,cdd,3380,6.85
Enhancing lycopene biosynthesis protein 2 OS=Escherichia coli (strain K12) GN=elbB PE=1 SV=1,elbB,3515,12.44
L-lactate dehydrogenase [cytochrome] OS=Escherichia coli (strain K12) GN=lldD PE=1 SV=1,lldD,1027,5.59
Probable phospholipid ABC transporter-binding protein mlaD OS=Escherichia coli (strain K12) GN=mlaD PE=1 SV=1,mlaD,1912,8.03
Capsular synthesis regulator component B OS=Escherichia coli (strain K12) GN=rcsB PE=1 SV=1,rcsB,3818,6.44
Protein mrp OS=Escherichia coli (strain K12) GN=mrp PE=3 SV=1,mrp,2075,2.49
Glycyl-tRNA synthetase alpha subunit OS=Escherichia coli (strain K12) GN=glyQ PE=1 SV=2,glyQ,3682,2.46
Sulfate-binding protein OS=Escherichia coli (strain K12) GN=sbp PE=1 SV=1,sbp,567,2.58
N-acetylglucosamine-6-phosphate deacetylase OS=Escherichia coli (strain K12) GN=nagA PE=1 SV=1,nagA,752,7.36
Der GTPase-activating protein YihI OS=Escherichia coli (strain K12) GN=yihI PE=1 SV=1,yihI,1804,4.44
Ribosomal small subunit pseudouridine synthase A OS=Escherichia coli (strain K12) GN=rsuA PE=1 SV=1,rsuA,1816,6.16
Protein nagD OS=Escherichia coli (strain K12) GN=nagD PE=1 SV=1,nagD,1368,2.94
Protein yhbO OS=Escherichia coli (strain K12) GN=yhbO PE=1 SV=2,yhbO,214,7.99
Glycogen phosphorylase OS=Escherichia coli (strain K12) GN=glgP PE=3 SV=1,glgP,116,2.81
Transcription elongation factor greA OS=Escherichia coli (strain K12) GN=greA PE=1 SV=1,greA,6565,2.21
S-adenosylmethionine decarboxylase proenzyme OS=Escherichia coli (strain K12) GN=speD PE=1 SV=1,speD,2106,3.78
Protein yceI OS=Escherichia coli (strain K12) GN=yceI PE=1 SV=1,yceI,580,0.98
Acetolactate synthase isozyme 3 small subunit OS=Escherichia coli (strain K12) GN=ilvH PE=1 SV=3,ilvH,439,7.02
Homoserine O-succinyltransferase OS=Escherichia coli (strain K12) GN=metA PE=1 SV=4,metA,370,10.18
Blue copper oxidase CueO OS=Escherichia coli (strain K12) GN=cueO PE=1 SV=2,cueO,424,2.46
Hypoxanthine phosphoribosyltransferase OS=Escherichia coli (strain K12) GN=hpt PE=1 SV=1,hpt,2475,2.90
Ribonucleoside-diphosphate reductase 1 subunit beta OS=Escherichia coli (strain K12) GN=nrdB PE=1 SV=2,nrdB,832,12.41
Riboflavin synthase alpha chain OS=Escherichia coli (strain K12) GN=ribE PE=1 SV=1,ribC,970,8.30
Uncharacterized protein yqjG OS=Escherichia coli (strain K12) GN=yqjG PE=3 SV=1,yqjG,117,8.99
NAD(P)H-flavin reductase OS=Escherichia coli (strain K12) GN=fre PE=1 SV=2,fre,1302,1.32
NifU-like protein OS=Escherichia coli (strain K12) GN=nifU PE=1 SV=1,iscU,8769,5.95
Protein YrdA OS=Escherichia coli (strain K12) GN=yrdA PE=1 SV=1,yrdA,872,2.12
Phosphatase YidA OS=Escherichia coli (strain K12) GN=yidA PE=1 SV=1,yidA,644,7.37
Uncharacterized protein yefG OS=Escherichia coli (strain K12) GN=yefG PE=4 SV=1,wbbI,2028,8.28
Glycogen debranching enzyme OS=Escherichia coli (strain K12) GN=glgX PE=1 SV=3,glgX,75,11.88
Peptide methionine sulfoxide reductase msrB OS=Escherichia coli (strain K12) GN=msrB PE=1 SV=1,msrB,1263,4.79
Probable pyruvate-flavodoxin oxidoreductase OS=Escherichia coli (strain K12) GN=ydbK PE=3 SV=2,ydbK,197,5.04
Uncharacterized protein ygiC OS=Escherichia coli (strain K12) GN=ygiC PE=4 SV=1,ygiC,440,9.15
Isochorismatase OS=Escherichia coli (strain K12) GN=entB PE=1 SV=1,entB,91,10.81
Putative molybdenum transport ATP-binding protein ModF OS=Escherichia coli (strain K12) GN=modF PE=3 SV=2,modF,53,8.11
Penicillin-binding protein 1A OS=Escherichia coli (strain K12) GN=mrcA PE=1 SV=1,mrcA,49,26.02
Sensor kinase CusS OS=Escherichia coli (strain K12) GN=cusS PE=1 SV=1,cusS,173,9.64
Co-chaperone protein hscB OS=Escherichia coli (strain K12) GN=hscB PE=1 SV=1,hscB,983,14.38
Cell division protein ftsN OS=Escherichia coli (strain K12) GN=ftsN PE=1 SV=3,ftsN,261,1.76
High-affinity zinc uptake system protein znuA OS=Escherichia coli (strain K12) GN=znuA PE=1 SV=4,znuA,567,10.57
Galactitol-1-phosphate 5-dehydrogenase OS=Escherichia coli (strain K12) GN=gatD PE=3 SV=1,gatD,1229,9.64
Multidrug resistance protein mdtA OS=Escherichia coli (strain K12) GN=mdtA PE=2 SV=2,mdtA,70,9.60
Oxidoreductase ucpA OS=Escherichia coli (strain K12) GN=ucpA PE=1 SV=3,ucpA,1962,5.67
Ribose import ATP-binding protein RbsA OS=Escherichia coli (strain K12) GN=rbsA PE=1 SV=1,rbsA,78,25.81
Uncharacterized protein yhiI OS=Escherichia coli (strain K12) GN=yhiI PE=4 SV=1,yhiI,454,11.41
RNA polymerase sigma factor rpoS OS=Escherichia coli (strain K12) GN=rpoS PE=3 SV=3,rpoS,1347,3.87
Putative hydrolase ycdX OS=Escherichia coli (strain K12) GN=ycdX PE=1 SV=1,ycdX,221,2.80
High-affinity branched-chain amino acid transport ATP-binding protein LivG OS=Escherichia coli (strain K12) GN=livG PE=3 SV=1,livG,171,8.69
Uridine kinase OS=Escherichia coli (strain K12) GN=udk PE=3 SV=1,udk,445,6.66
Xylulose kinase OS=Escherichia coli (strain K12) GN=xylB PE=1 SV=1,xylB,44,2.40
Uncharacterized protein ycbX OS=Escherichia coli (strain K12) GN=ycbX PE=1 SV=1,ycbX,308,6.71
tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG OS=Escherichia coli (strain K12) GN=mnmG PE=1 SV=1,mnmG,171,4.71
D-xylose-binding periplasmic protein OS=Escherichia coli (strain K12) GN=xylF PE=1 SV=1,xylF,147,14.05
Lipoyl synthase OS=Escherichia coli (strain K12) GN=lipA PE=1 SV=1,lipA,2685,6.37
Poly(A) polymerase OS=Escherichia coli (strain K12) GN=pcnB PE=1 SV=2,pcnB,74,22.83
Fumarate reductase flavoprotein subunit OS=Escherichia coli (strain K12) GN=frdA PE=1 SV=3,frdA,408,10.11
Ornithine carbamoyltransferase chain I OS=Escherichia coli (strain K12) GN=argI PE=1 SV=3,argI,71,3.05
NADH-quinone oxidoreductase subunit B OS=Escherichia coli (strain K12) GN=nuoB PE=1 SV=1,nuoB,1281,6.55
Maltose/maltodextrin import ATP-binding protein MalK OS=Escherichia coli (strain K12) GN=malK PE=1 SV=1,malK,398,14.55
Biotin synthase OS=Escherichia coli (strain K12) GN=bioB PE=1 SV=2,bioB,94,7.17
Oligopeptide transport ATP-binding protein OppF OS=Escherichia coli (strain K12) GN=oppF PE=3 SV=1,oppF,445,17.87
Peroxiredoxin osmC OS=Escherichia coli (strain K12) GN=osmC PE=1 SV=2,osmC,3286,7.14
50S ribosomal protein L7/L12 OS=Escherichia coli (strain K12) GN=rplL PE=1 SV=2,rplL,145619,6.11
